sample,species,pressure,shelf
XAS1R1,rubida,0.0,S1
XAS1R2,rubida,0.0,S1
XAS2R1,rubida,0.0,S2
XAS2R2,rubida,0.0,S2
XAS3R1,rubida,0.0,S3
XAS3R2,rubida,0.0,S3
XAS4R1,rubida,0.0,S4
XAS4R2,rubida,0.0,S4
XBS1R1,rubida,-0.5,S1
XBS1R2,rubida,-0.5,S1
XBS2R1,rubida,-0.5,S2
XBS2R2,rubida,-0.5,S2
XBS3R1,rubida,-0.5,S3
XBS3R2,rubida,-0.5,S3
XBS4R1,rubida,-0.5,S4
XBS4R2,rubida,-0.5,S4
XCS1R1,rubida,-1.0,S1
XCS1R2,rubida,-1.0,S1
XCS2R1,rubida,-1.0,S2
XCS2R2,rubida,-1.0,S2
XCS3R1,rubida,-1.0,S3
XCS3R2,rubida,-1.0,S3
XCS4R1,rubida,-1.0,S4
XCS4R2,rubida,-1.0,S4
YAS1R1,baileyana,0.0,S1
YAS1R2,baileyana,0.0,S1
YAS2R1,baileyana,0.0,S2
YAS2R2,baileyana,0.0,S2
YAS3R1,baileyana,0.0,S3
YAS3R2,baileyana,0.0,S3
YAS4R1,baileyana,0.0,S4
YAS4R2,baileyana,0.0,S4
YBS1R1,baileyana,-0.5,S1
YBS1R2,baileyana,-0.5,S1
YBS2R1,baileyana,-0.5,S2
YBS2R2,baileyana,-0.5,S2
YBS3R1,baileyana,-0.5,S3
YBS3R2,baileyana,-0.5,S3
YBS4R1,baileyana,-0.5,S4
YBS4R2,baileyana,-0.5,S4
YCS1R1,baileyana,-1.0,S1
YCS1R2,baileyana,-1.0,S1
YCS2R1,baileyana,-1.0,S2
YCS2R2,baileyana,-1.0,S2
YCS3R1,baileyana,-1.0,S3
YCS3R2,baileyana,-1.0,S3
YCS4R1,baileyana,-1.0,S4
YCS4R2,baileyana,-1.0,S4
